budget,id,popularity,release_date,revenue,runtime,vote_average,vote_count
160000000,27205,167.58371,14-07-10,825532764,148,8.1,13752
15000000,315011,9.476999,29-07-16,77000000,120,6.5,143
250000000,49051,108.849621,26-11-12,1021103568,169,7,8297
38000000,9799,6.909942,22-06-01,207283925,106,6.6,3428
150000000,4922,60.269279,24-11-08,333932083,166,7.3,3292
160000000,49538,3.195174,24-05-11,353624124,132,7.1,5181
160000000,131634,127.284427,18-11-15,653428261,137,6.6,3984
150000000,27022,35.580815,13-07-10,215283742,109,5.8,1470
160000000,503,21.133748,12-05-06,181674817,99,5.5,583
170000000,241259,56.268916,25-05-16,299370084,113,6.5,1725
160000000,810,42.986467,17-05-07,798958165,93,6,2278
160000000,68735,63.148529,25-05-16,433677183,123,6.3,2268
155000000,87101,202.042635,23-06-15,440603537,126,5.8,3631
155000000,10140,49.661984,13-08-10,415686217,113,6.2,1514
140000000,676,34.20669,21-05-01,449220945,183,6.6,1791
150000000,1858,25.468493,27-06-07,709709780,144,6.6,4040
155000000,1966,39.019229,21-11-04,167298192,175,5.6,927
150000000,675,78.144395,28-06-07,938212738,138,7.4,5494
150000000,674,101.250416,05-11-05,895921036,157,7.5,5608
150000000,8960,56.758411,01-07-08,624029371,92,6.2,2961
150000000,6479,70.867401,14-12-07,585349010,101,6.9,4853
150000000,118,53.905592,13-07-05,474968763,115,6.7,3624
150000000,2062,65.677399,22-06-07,623722818,111,7.5,4369
150000000,272,115.040024,10-06-05,374218673,140,7.5,7359
150000000,10527,44.141021,30-10-08,603900354,89,6.2,1810
150000000,18360,81.781591,20-05-09,413106170,105,5.9,1971
150000000,2080,5.954334,28-04-09,373062864,107,6.2,4021
150000000,605,73.313918,05-11-03,424988211,129,6.4,3096
150000000,109445,165.125366,27-11-13,1274219009,102,7.3,5295
150000000,604,70.78591,15-05-03,738599701,138,6.7,3443
170000000,76338,99.499595,29-10-13,644571402,112,6.8,4755
150000000,76341,434.278564,13-05-15,378858340,120,7.2,9427
150000000,13448,67.447636,13-05-09,356613439,138,6.5,2129
150000000,10195,86.493424,21-04-11,449326618,115,6.6,6525
150000000,13053,41.845878,21-11-08,309979994,98,6.3,1750
150000000,19585,26.710398,21-07-09,292817841,88,5.1,510
150000000,57165,44.927635,27-03-12,301000000,99,5.5,1431
150000000,62213,50.306728,08-05-12,245527149,113,5.7,2320
150000000,177677,114.522237,23-07-15,682330139,131,7.1,3224
150000000,7978,21.214571,11-02-10,0,102,5.5,549
150000000,5559,29.332905,28-10-07,287594577,91,5.7,1171
150000000,49444,51.247321,25-05-11,665692281,91,6.7,1880
150000000,10196,33.769336,30-06-10,318502923,103,4.7,1151
150000000,956,63.079003,03-05-06,397850012,126,6.5,2028
150000000,117251,39.004588,27-06-13,205366737,131,6.4,1891
150000000,50321,12.362599,09-03-11,38992758,88,5.5,199
149000000,11619,22.550135,22-10-06,64459316,85,6,874
150000000,266647,48.03528,24-09-15,128388320,111,5.9,954
145000000,82703,38.73494,07-02-14,272912430,92,6.7,843
175000000,652,66.803149,13-05-04,497409852,163,6.9,2759
145000000,80321,44.989192,06-06-12,746921274,93,6.4,1808
140000000,36669,54.159392,17-11-02,431971116,133,5.8,1092
144000000,43074,66.21806,14-07-16,229147509,116,5.3,2142
140000000,95,58.485967,01-07-98,553799566,151,6.4,2482
140000000,608,91.332849,03-07-02,441818803,88,6,3114
70000000,2310,35.601665,05-11-07,195735876,115,5.5,841
145000000,140300,56.747978,23-01-16,521170825,95,6.7,1603
145000000,56292,77.77477,07-12-11,694713380,133,6.8,3972
145000000,81188,61.788035,21-11-12,306941670,97,7.1,1922
100000000,7552,25.159168,21-12-05,202026112,90,5.9,627
140000000,616,52.341226,05-12-03,456758981,154,7.3,1895
140000000,147441,101.599427,03-12-14,268031828,150,5.6,1921
150000000,13475,73.616808,06-05-09,385680446,127,7.4,4518
139000000,557,82.502566,01-05-02,821708551,121,6.8,5265
145000000,82702,100.21391,12-06-14,609123048,102,7.6,3106
140000000,205584,56.257249,25-02-16,150680864,127,5.3,1277
135000000,10048,17.88953,28-07-05,76932943,121,4.9,331
130000000,13183,64.798873,05-03-09,185258983,163,7,2811
140000000,944,24.855701,10-07-98,285444603,127,6.3,767
137000000,1927,34.981698,19-06-03,245360480,138,5.3,1533
130000000,72559,59.325589,26-03-13,371876278,110,5.4,3025
130000000,7364,21.605568,06-04-05,119269486,124,5.7,434
137000000,2114,26.074908,02-07-01,85131830,106,5.9,433
140000000,1771,74.506246,22-07-11,370569774,124,6.6,7047
135000000,36643,39.604363,08-11-99,361832400,128,6,862
150000000,8619,36.973031,14-11-03,212011111,138,6.9,790
120000000,50620,99.687084,13-11-12,829000000,115,6.1,2553
130000000,65759,17.7735,17-11-11,150406466,100,5.8,373
150000000,1724,62.898336,12-06-08,163712074,114,6.1,3021
140000000,267935,44.19092,01-06-16,183345589,120,6,1000
135000000,281957,100.635882,25-12-15,532950503,156,7.3,6396
135000000,77950,44.765377,11-07-13,282570682,96,6.1,1074
135000000,44896,29.91353,02-03-11,245724603,107,6.6,2051
132000000,270946,84.366984,22-11-14,373552094,92,6.5,1346
70000000,2503,45.381501,03-08-07,442824138,115,7.3,2888
130000000,9502,84.689648,04-06-08,631744560,90,6.9,3145
130000000,102899,120.09361,14-07-15,519311965,117,7,5880
130000000,101299,76.310119,15-11-13,847423452,146,7.4,6495
135000000,228161,63.473086,18-03-15,368871007,94,6.8,1519
132000000,74,48.572726,28-06-05,591739379,116,6.2,2322
130000000,8961,38.068736,18-07-03,273339556,147,6.3,1564
130000000,417859,20.678787,28-10-11,554987477,90,6.4,451
110000000,27576,48.829437,21-07-10,293329073,100,6.2,2093
125000000,86834,46.115758,20-03-14,362637473,139,5.6,2350
130000000,17578,89.938296,25-10-11,371940071,107,6.7,2061
130000000,673,79.679601,31-05-04,789804554,141,7.7,5877
130000000,6972,28.840997,18-11-08,49554002,165,6.3,694
130000000,82700,42.840582,30-05-13,243843127,100,5,2532
127500000,10567,26.548594,19-05-00,354248063,82,6.2,542
127000000,181533,115.597753,17-12-14,349424282,97,6.1,1851
130000000,38055,68.757242,28-10-10,321887208,95,6.7,1918
125000000,671,109.984351,16-11-01,976475550,152,7.5,7006
130000000,49524,39.448066,18-07-13,61648500,96,5.4,1260
140000000,22,271.972889,09-07-03,655011224,143,7.5,6985
125000000,131631,206.227151,18-11-14,752100229,123,6.6,5584
125000000,591,45.313197,17-05-06,767820459,149,6.5,2704
103000000,172385,42.40024,19-03-14,500188435,102,6.3,978
110000000,36658,2.871739,24-04-03,407711549,133,6.8,3506
125000000,51497,7.255718,20-04-11,626137675,130,7.1,2438
125000000,58574,81.499621,22-11-11,334615000,129,7,3886
125000000,18823,47.686442,01-04-10,232713139,106,5.6,2233
65000000,861,43.129703,01-06-90,261317921,113,7.1,1710
160000000,1911,27.220157,27-08-99,61698899,102,6.4,510
130000000,49040,90.33681,08-08-12,276572938,120,6,2651
125000000,415,50.073575,20-06-97,238207122,125,4.2,1418
123000000,8871,45.419668,17-11-00,345141403,104,6.2,1386
125000000,435,41.380094,26-05-04,544272402,124,6.2,2392
125000000,955,54.931334,24-05-00,546388105,123,5.9,1928
120000000,2133,25.752118,15-03-00,325756637,130,6.2,597
130000000,1979,60.810723,13-06-07,289047763,92,5.4,2589
120000000,87827,51.328145,20-11-12,609016565,127,7.2,5797
110000000,1250,46.834704,16-02-07,228738393,114,5.2,1712
120000000,324668,62.641286,27-07-16,415484914,123,5.9,2341
120000000,9471,33.616115,27-06-03,259175788,106,5.2,914
130000000,70981,68.889395,30-05-12,403170142,124,6.3,5080
120000000,10996,27.990284,19-07-02,169956806,78,5.4,613
115000000,68724,67.33767,07-08-13,286140700,109,6.4,3439
105000000,2789,27.835436,11-06-04,115772733,119,6.3,1570
120000000,97020,66.757869,30-01-14,242688965,102,5.7,2342
120000000,7459,17.060695,09-05-08,93945766,135,5.7,354
120000000,42888,11.137655,17-12-10,48668907,121,4.9,223
117000000,37834,44.906918,15-06-10,261930431,109,5.9,1547
120000000,75612,67.698004,10-04-13,286168572,124,6.4,4800
113000000,1895,44.108427,17-05-05,850000000,140,7.1,4116
120000000,1894,43.987061,15-05-02,649398328,142,6.4,3992
115000000,585,106.815545,01-11-01,562816256,92,7.5,5996
120000000,76170,15.953444,23-07-13,415440673,126,6.3,4053
115000000,1893,54.035265,19-05-99,924317558,136,6.3,4432
135000000,49519,64.183321,20-03-13,585178928,98,6.8,2399
97250400,2395,20.344364,13-01-08,132900000,116,5,471
115000000,12100,18.714197,14-06-02,77628265,134,5.8,341
115000000,290595,60.467984,06-04-16,164602163,114,6,1523
125000000,98566,143.350376,07-08-14,477200000,101,5.8,2636
105000000,49047,110.153618,27-09-13,716392705,91,7.3,5751
116000000,9619,16.90444,07-02-97,178127760,108,5.7,428
135000000,308531,39.873791,01-06-16,245623848,112,5.8,963
120000000,166424,38.126095,05-08-15,167977596,100,4.4,2278
110000000,1593,48.780039,20-10-06,574480841,108,6.3,2862
110000000,254128,100.412364,27-05-15,470490832,114,6,2968
110000000,714,42.887121,11-12-97,333011068,119,6,925
110000000,2024,23.657284,28-06-00,215294342,165,6.8,1099
110000000,163,76.840712,09-12-04,362744280,125,6.4,2124
110000000,787,44.635452,07-06-05,478207520,120,6.5,2965
110000000,262500,103.718387,18-03-15,295238201,119,6.2,3829
116000000,2567,45.616098,17-12-04,102000000,170,7,1489
112000000,38745,22.845143,25-12-10,237382724,85,4.9,621
120000000,40805,31.703608,12-01-11,227817248,119,5.5,1251
110000000,53182,71.510596,05-03-14,337580051,102,6.1,2397
110000000,41513,36.65422,29-07-11,563749323,103,5.5,1179
110000000,13700,19.625972,02-04-04,103951461,76,5.7,389
110000000,262504,86.105615,09-03-16,179246868,121,5.9,1998
110000000,39254,37.195046,28-09-11,299268508,127,6.6,2692
105000000,77931,32.473628,30-07-13,347434178,105,5.5,695
160000000,1639,23.336875,13-06-97,164508066,121,4.1,434
110000000,80274,45.94834,23-10-13,125537191,114,6.6,2303
110000000,1571,48.93337,20-06-07,383531464,128,6.4,2089
93000000,120,138.049577,18-12-01,871368364,178,8,8705
110000000,10204,22.643776,16-06-04,72178895,120,5.7,672
107000000,8489,18.866672,11-12-01,87713825,157,6.7,447
0,10588,18.251129,21-11-03,0,82,4.9,366
120000000,2048,95.914473,15-07-04,347234916,115,6.7,3793
130000000,1495,44.490453,03-05-05,211643158,144,6.6,1157
133000000,10137,30.475297,17-12-99,300135367,84,5.8,959
105000000,10198,62.479574,08-12-09,267045765,97,6.7,1247
108000000,286217,167.93287,30-09-15,630161890,141,7.6,7268
126000000,1635,37.68056,20-07-05,162949164,136,6.5,1770
90000000,24113,1.004579,27-04-01,10372291,104,3.7,16
90000000,9679,52.995628,09-06-00,237202299,118,6.1,1485
103000000,98,95.301296,01-05-00,457640427,155,7.9,5439
102000000,180,65.948959,20-06-02,358372926,145,7.1,2608
100000000,672,132.397737,13-11-02,876688482,161,7.4,5815
150000000,36557,88.935165,14-11-06,599045960,144,7.3,3855
100000000,869,51.188633,25-07-01,362211740,119,5.6,1243
100000000,280,101.74155,01-07-91,520000000,137,7.7,4185
80000000,11322,33.691694,01-07-09,214104620,140,6.5,1344
100000000,4982,42.361215,02-11-07,266465037,157,7.4,1502
115000000,36955,38.729418,14-07-94,378882411,141,6.8,1116
100000000,18487,40.597856,11-06-09,150166126,106,6.2,954
100000000,39451,32.389353,21-12-10,310650585,98,5.4,1060
100000000,27581,24.399642,06-08-10,170432927,107,6.1,1383
100000000,9268,24.507987,21-06-96,242295562,115,5.6,543
100000000,68718,82.121691,25-12-12,425368238,165,7.8,10099
100000000,10545,46.727941,21-06-96,100138851,91,6.8,1129
100000000,11688,51.113717,09-12-00,169327687,78,7.2,1490
100000000,76163,53.732892,08-08-12,312573423,103,6.1,2896
100000000,2059,58.849256,19-11-04,347451894,131,6.4,1926
100000000,2486,30.863434,14-12-06,249288105,104,4.9,967
100000000,16523,31.586215,16-10-09,100086793,101,6.4,572
100000000,116711,36.711378,15-05-13,268426634,102,6.4,1121
100000000,37710,41.426678,08-12-10,278731369,103,6,1699
100000000,9946,20.652943,24-11-99,211989043,121,5.5,482
100000000,1372,52.792678,07-12-06,170877916,143,7.3,2281
100000000,106646,95.007934,25-12-13,392000694,180,7.9,6571
100000000,414,48.205606,31-05-95,336529144,121,5.2,1498
105000000,563,58.782359,06-11-97,121214377,129,6.7,1560
102000000,83542,73.872343,26-10-12,130482868,172,6.6,2977
80000000,41216,37.321848,10-07-10,140073390,97,6.5,703
100000000,314,32.271938,22-07-04,82102379,104,4.2,808
100000000,184315,76.842247,23-07-14,243400000,99,5.6,1680
140000000,9016,38.924136,26-11-02,109578115,95,7.2,948
100000000,18162,19.38841,05-06-09,68688831,102,5.3,381
90000000,138103,61.025639,04-08-14,206172544,127,6.1,1795
105000000,257088,33.507289,03-12-15,133718711,114,5.5,783
84000000,10214,17.815595,18-02-05,0,94,3.6,338
100000000,205775,50.767332,20-11-15,93820758,122,6.5,1276
100000000,11692,12.092241,15-08-02,7103973,95,4.4,142
100000000,22972,30.254021,11-03-10,94882889,115,6.4,717
99000000,227973,34.308098,05-11-15,246233113,88,6.5,604
10000000,29193,3.091077,08-09-97,13835130,110,7.1,73
98000000,1734,41.862983,28-04-01,433013274,130,6,2206
100000000,3131,46.160048,14-12-02,193772504,167,7.1,1910
94000000,76758,12.516546,15-12-11,95311434,145,7.1,187
85000000,9408,23.230851,08-06-07,149044513,85,5.9,601
90000000,9890,19.224754,10-06-04,102000000,93,5.4,334
92000000,855,44.455166,28-12-01,172989651,144,7.2,1811
0,77953,16.460356,09-08-12,104907746,85,5.6,578
90000000,18,109.528572,07-05-97,263920180,126,7.3,3885
100000000,37786,18.325897,26-05-10,288347692,146,5.4,426
95000000,10501,37.054554,31-03-00,76432727,89,7,858
95000000,57800,65.229868,26-06-12,877244782,88,6.2,2672
95000000,150689,101.187052,12-03-15,543514353,105,6.7,2374
65000000,7980,29.257137,26-12-09,93525586,136,6.6,1065
94000000,12,85.688789,30-05-03,940335536,100,7.6,6122
94000000,122,123.630332,01-12-03,1118888979,201,8.1,8064
79000000,121,106.914973,18-12-02,926287400,179,8,7487
95000000,68737,63.628459,12-12-14,114178613,102,5.2,957
115000000,1995,41.498631,11-06-01,274703340,100,5.7,2192
100000000,157353,58.991388,16-04-14,103039258,119,5.9,2295
93000000,331,1.859364,18-07-01,368780809,92,5.7,2077
93000000,61791,138.433168,03-08-11,482860185,105,7,4347
90000000,8204,21.436682,14-02-08,162839667,95,6.3,572
92000000,47964,65.402595,06-02-13,304654182,98,5.2,3493
145000000,10733,10.660441,07-04-04,25819961,137,5.8,106
92000000,9806,77.817571,05-11-04,631442092,115,7.4,5152
98000000,1408,7.029308,22-12-95,10017322,119,5.7,136
95000000,32657,61.121717,01-02-10,226497209,118,6,2010
90000000,607,104.121555,02-07-97,589390539,98,6.9,4412
90000000,863,73.575118,30-10-99,497366869,92,7.3,3806
100000000,44048,37.698465,04-11-10,167805466,98,6.3,1165
90000000,5175,35.814765,03-08-01,347325802,90,6.4,1054
100000000,2655,15.835672,21-07-00,155464351,130,6.3,488
100000000,22794,46.781182,17-09-09,242988466,90,6.5,1747
90000000,8355,69.457898,29-06-09,886686817,94,6.5,2271
90000000,116745,43.348022,18-12-13,188133322,114,7,3144
92000000,4327,40.20395,02-11-00,264105545,98,5.6,1232
90000000,1422,63.429157,05-10-06,289847354,151,7.9,4339
90000000,10674,67.427755,18-06-98,304320254,88,7.6,2008
92000000,7446,43.192048,09-08-08,188072649,107,6.5,1667
90000000,65754,47.651083,14-12-11,232617430,158,7.2,2434
90000000,1572,51.881077,19-05-95,366101666,128,6.9,2066
90000000,10528,57.834787,23-12-09,524028679,128,7,5766
100000000,271969,29.608322,17-08-16,94061311,125,5.3,621
120000000,10865,51.548589,02-06-01,186053725,95,6.7,1224
0,258509,27.867368,17-12-15,233755553,92,5.8,428
75000000,2253,38.832842,25-12-08,200276000,121,6.7,1173
90000000,10661,40.597344,05-06-08,201596308,113,5.5,1048
88000000,257344,140.849495,16-07-15,243637091,105,5.6,2513
100000000,644,34.035114,29-06-01,235926552,146,6.8,1974
90000000,10756,16.302378,25-11-03,182290266,99,5.2,466
90000000,686,55.249434,11-07-97,171120329,150,7.2,1308
95000000,9383,28.200874,04-08-00,190213455,112,5.6,634
80000000,179,18.69984,08-04-05,162944923,128,6.2,392
90000000,76285,40.262261,07-08-13,174578751,106,5.9,1648
95000000,1996,56.811056,21-07-03,156505388,117,5.5,1418
90000000,291805,51.535701,02-06-16,334901337,129,6.7,3235
68000000,10003,20.913852,03-04-97,118063304,116,5.9,302
92000000,1535,27.166757,18-11-01,143049560,126,6.8,579
90000000,2067,16.058284,10-03-00,60874615,114,5.7,369
90000000,46195,46.200042,03-04-11,484635760,96,6.5,2166
100000000,2277,24.939295,17-12-99,93700000,131,6.9,963
90000000,10357,19.836124,25-04-97,0,104,5.2,376
90000000,4477,15.350451,12-03-97,140807547,107,5.9,290
100000000,8665,15.625949,19-07-02,35168966,138,6.1,264
20000000,9387,31.802807,02-04-82,79114085,129,6.6,650
88000000,921,24.100863,02-06-05,108539911,144,7.3,616
90000000,49852,3.593349,24-11-10,16178959,110,5.4,50
87000000,4464,14.824166,22-07-03,148336445,141,6.7,216
92000000,664,32.079995,10-05-96,494471524,113,6.1,950
90000000,8358,57.739713,22-12-00,429632142,143,7.5,3218
100000000,9836,37.272385,16-11-06,384335608,108,5.9,1410
75000000,2502,53.213931,23-07-04,288500217,108,7.2,2825
85000000,9772,36.38795,25-07-97,315156409,124,6.2,840
85000000,161,60.929352,07-12-01,450717150,116,7.2,3783
75000000,52451,36.605246,31-08-11,132274484,110,5.6,924
85000000,76492,56.257411,20-09-12,358375603,91,6.8,2566
85000000,4523,29.21998,20-11-07,340487652,107,6.6,1449
85000000,59961,34.773106,09-02-12,208076205,115,6.3,1345
85000000,10481,9.895061,07-10-00,183611771,100,5.1,313
75000000,59108,36.743324,02-11-11,152930623,104,5.8,932
85000000,1581,44.967453,08-12-06,194168700,136,6.7,1225
90000000,9798,41.207568,20-11-98,250649836,132,6.7,1240
85000000,22897,16.479851,23-12-09,219103655,121,6.2,360
85000000,298,42.069993,07-06-07,311312624,122,6.5,1999
85000000,7484,26.61951,29-09-06,197309027,83,6.1,656
85000000,157350,80.316463,14-03-14,288747895,139,6.9,4663
68000000,853,41.273567,13-03-01,96976270,131,7.2,999
85000000,10159,24.107835,26-09-03,80916492,104,6.4,514
85000000,9593,32.044191,18-06-93,137298489,130,6.1,712
85000000,1904,16.595874,06-12-05,162242962,145,7.3,652
85000000,9615,8.282876,03-06-06,158468292,104,6.1,1705
0,51052,19.83683,22-02-11,0,97,6.7,333
90000000,297,36.069611,12-11-98,142940100,178,6.9,1147
85000000,9884,18.827753,06-02-02,78382433,108,5.5,427
0,16858,5.159407,20-12-79,37823676,123,7.3,85
85000000,62764,48.126297,15-03-12,183018522,106,5.5,1114
60000000,22538,38.885195,27-07-10,47664559,112,7.2,2126
60000000,9341,29.211255,28-03-03,74208267,136,5.4,516
84000000,12107,17.783361,27-07-00,123307945,106,4.7,332
84000000,9637,31.435539,14-06-02,275650703,88,5.4,820
50000000,49049,57.673932,07-09-12,41037742,95,6.6,1940
82500000,9339,41.176631,22-06-06,237681299,107,6,2104
8000000,16281,13.661289,12-11-82,21028755,120,6.7,226
85000000,39691,11.77398,30-07-10,112483764,82,4.9,119
85000000,8247,21.218,10-02-08,222231186,88,5.9,1799
85000000,11253,58.57976,11-07-08,160388063,120,6.5,1527
65000000,1949,51.970905,02-03-07,84785914,157,7.3,2023
82000000,8452,18.447479,17-11-00,96085477,123,5.7,595
80000000,310,109.684788,23-05-03,484572835,101,6.4,3012
80000000,27578,77.580661,03-08-10,274470394,103,6,2926
80000000,954,75.290998,22-05-96,457696359,110,6.7,2631
75000000,70160,68.550698,12-03-12,691210692,142,6.9,9455
80000000,45243,58.040149,25-05-11,254455986,102,6.2,3739
80000000,364,59.113174,19-06-92,280000000,126,6.6,1673
80000000,7518,36.32705,22-04-06,343397247,83,6.3,1074
80000000,11544,55.659988,21-06-02,145771527,85,7.1,1314
85000000,9986,14.132583,15-12-06,144000000,97,5.8,288
75000000,8656,34.070054,08-05-98,140464664,120,5.9,855
84000000,146216,44.34333,18-07-13,0,116,6.4,1526
82000000,9291,26.065735,19-05-05,190320568,113,6.2,785
75000000,55301,23.473004,14-12-11,342695435,87,5.4,484
80000000,109418,45.589568,11-07-13,246984278,100,5.8,1155
80000000,11665,23.496054,19-06-08,230685453,110,6,1051
80000000,6964,16.939441,12-12-03,266728738,128,6.3,410
80000000,11324,81.914696,18-02-10,294804195,138,7.8,6336
80000000,12193,19.500893,26-11-08,163733697,88,5.3,331
75000000,9928,29.558157,10-03-05,260696994,91,6,1333
80000000,754,46.075037,27-06-97,245676146,138,6.8,1583
80000000,10202,23.531721,24-12-08,212874442,99,5.9,901
80000000,4147,49.078546,12-07-02,181001478,117,7.3,1077
80000000,50546,37.02665,10-02-11,214918407,117,6.3,1543
75000000,1701,45.154631,01-06-97,224012234,115,6.5,1270
80000000,13027,46.887983,25-09-08,178066569,118,6.3,1018
79000000,2289,24.598479,24-12-03,173013509,154,6.7,533
80000000,20504,32.363538,14-01-10,157107755,118,6.6,2164
80000000,9574,11.50396,26-11-97,177977226,93,5.3,695
80000000,11618,19.375768,23-07-99,91188905,113,5.2,369
80000000,2300,36.125715,15-11-96,250200000,88,6.5,1288
0,12096,25.450534,18-01-06,0,93,5.6,550
80000000,10200,41.890722,10-12-08,233093859,104,5.2,1043
75000000,8834,22.179658,07-08-97,136982834,135,6.5,431
68000000,228150,139.575085,15-10-14,211817906,135,7.4,3946
70000000,6068,18.264635,12-06-98,164000000,98,5.6,332
